scenario,cycle,input_valid,input_word_hex,actual_commit_ack,expected_commit_ack,actual_active_version,expected_active_version,actual_map_valid,expected_map_valid,actual_map_address,expected_map_address,actual_map_llr_twos,expected_map_llr_twos,actual_output_word_hex,expected_output_word_hex,actual_state_word_hex,expected_state_word_hex,exact
fault_and_commit,90,True,3997f000d0801bd,False,False,1,1,True,True,20,20,25378,25378,2e7cffd2ee000100000fc010101a91,2e7cffd2ee000100000fc010101a91,120100000000000000000000000000000000000158000000c04063f000,120100000000000000000000000000000000000158000000c04063f000,True
fault_and_commit,91,True,3f34f000d884206,False,False,1,1,True,True,38,38,3062,3062,2cebc06322000100000fc010101811,2cebc06322000100000fc010101811,5a1e0000000000000000000000000000000000015c000000c04063f000,5a1e0000000000000000000000000000000000015c000000c04063f000,True
fault_and_commit,92,True,12c87000e08024f,False,False,1,1,True,True,56,56,48191,48191,221e000bf6000100000fc010101811,221e000bf6000100000fc010101811,d2d800000000000000000000000000000000000160000000c04063f000,d2d800000000000000000000000000000000000160000000c04063f000,True
fault_and_commit,93,True,3ae13000e884298,False,False,1,1,True,True,74,74,17662,17662,2de100bc3f000100000fc010101811,2de100bc3f000100000fc010101811,9ac700000000000000000000000000000000000164000000c04063f000,9ac700000000000000000000000000000000000164000000c04063f000,True
fault_and_commit,94,True,766b000f0802e1,False,False,1,1,True,True,93,93,70953,70953,0f0ac044fe000100000fc010101811,0f0ac044fe000100000fc010101811,42e600000000000000000000000000000000000168000000c04063f000,42e600000000000000000000000000000000000168000000c04063f000,True
fault_and_commit,95,True,1827000f88432a,False,False,1,1,True,True,111,111,32262,32262,3c60011529000100000fc010101811,3c60011529000100000fc010101811,0af90000000000000000000000000000000000016c000000c04063f000,0af90000000000000000000000000000000000016c000000c04063f000,True
fault_and_commit,96,True,3787b0000080373,False,False,1,1,True,True,129,129,66180,66180,2721807e06000100000fc010101811,2721807e06000100000fc010101811,e28500000000000000000000000000000000000170000000c04063f000,e28500000000000000000000000000000000000170000000c04063f000,True
fault_and_commit,97,True,1a5f700008843bc,False,False,1,1,True,True,147,147,46396,46396,252a410284000100000fc010101811,252a410284000100000fc010101811,aa9a00000000000000000000000000000000000174000000c04063f000,aa9a00000000000000000000000000000000000174000000c04063f000,True
fault_and_commit,98,True,33e070001080005,False,False,1,1,True,True,166,166,43372,43372,151300b53c000100000fc010101811,151300b53c000100000fc010101811,72bb00000000000000000000000000000000000178000000c04063f000,72bb00000000000000000000000000000000000178000000c04063f000,True
fault_and_commit,99,True,2a98f000188404e,False,False,1,1,True,True,184,184,40911,40911,132700a96c000100000fc010101811,132700a96c000100000fc010101811,3aa40000000000000000000000000000000000017c000000c04063f000,3aa40000000000000000000000000000000000017c000000c04063f000,True
fault_and_commit,100,True,34cd70002080096,False,False,1,1,True,True,202,202,20559,20559,01d8c09fcf000100000fc010101811,01d8c09fcf000100000fc010101811,e1df00000000000000000000000000000000000180000000c04063f000,e1df00000000000000000000000000000000000180000000c04063f000,True
fault_and_commit,101,True,24ae300028840e0,False,False,1,1,True,True,220,220,26338,26338,0e94c0504f000100000fc010101811,0e94c0504f000100000fc010101811,a9c000000000000000000000000000000000000184000000c04063f000,a9c000000000000000000000000000000000000184000000c04063f000,True
fault_and_commit,102,True,d56f0003080129,False,False,1,1,True,True,239,239,4192051,4192051,1aab4066e2000100000fc010101811,1aab4066e2000100000fc010101811,df2900000000000000000000000000000000000188000000804023f000,df2900000000000000000000000000000000000188000000804023f000,True
fault_and_commit,103,True,128f70003884172,False,False,1,1,True,True,1,1,4182566,4182566,1e423ff733000100000fc000100d11,1e423ff733000100000fc000100d11,b1d30000000000000000000000000000000000018c000000800003f000,b1d30000000000000000000000000000000000018c000000800003f000,True
fault_and_commit,104,True,3d4bf00040801bb,False,False,1,1,True,True,19,19,25066,25066,36fdbfd226000100000fc000000291,36fdbfd226000100000fc000000291,59af00000000000000000000000000000000000190000000800003f000,59af00000000000000000000000000000000000190000000800003f000,True
fault_and_commit,105,True,3a40b0004884204,False,False,1,1,True,True,37,37,2762,2762,2df20061ea000100000fc000000011,2df20061ea000100000fc000000011,70de001000000000000000000000000400000004000580008000000005,70de001000000000000000000000000400000004000580008000000005,True
