strategy,root_seed,checkpoint_epoch,selection_split,selection_score,trajectory_count,eligible_within_agent,selected_within_agent,selected_across_agents,test_or_formal_used,checkpoint_tensor_sha256,training_lineage_sha256,status
mf,910033,440,validation_only,0.38346776733904187,64,True,False,False,False,a011d299d28becb63cba378ae5cecb4f099dbd7c898b3db8a57b55f61635a897,7c40227fcd711bf295c5a5583d942a7c7588d2b9691ffe8f65e8293b5257642e,COMPLETE
mf,910033,480,validation_only,0.39524643320320707,64,True,False,False,False,6dbdb2a871c7b00f9c60ec7c5fed24e4e9613f80a2296076d4eea6f71ccc85cc,0891a56b980b761fb86d709507b310c25c9e940b04617344f7c5882453c3f594,COMPLETE
mf,910033,520,validation_only,0.3980227495028886,64,True,False,False,False,735316390996f38e3c046e079a2763229b7de8b5e8c48ade974d6e83e0abaca0,dde520be0556e5fbab237b34eb04d861b05c98702f2942e091ffc29f4d50cd72,COMPLETE
mf,910033,560,validation_only,0.39911160057927486,64,True,False,False,False,322a4186d477d262576707032dcd2d4305ee625bea783165bee1c13c59668ba9,9bd8a18d6a24d02c8f762221e7198a02fd6634ab64ed6841f7128954ff09ec6c,COMPLETE
mf,910033,600,validation_only,0.39418918059796526,64,True,False,False,False,41318e522ee18d2fcb533d2443dc58dfe90c19c433c81216f1e02367669af310,ed9dd7ae6022a7c5e115f76f685ac7205fdbd3ff6f3c71dd952870469d480bc9,COMPLETE
mf,910033,640,validation_only,0.39682977778201606,64,True,False,False,False,c73e6bfa1ae32f1ecc84f67fc23fd9b177e34417128d9b5d6b29c21e6f323c94,e05c4334ea0bc0b8edd35c9685b9313a2f57a3dfae8b8a53564e7b28504c04a0,COMPLETE
mf,910033,680,validation_only,0.39934619405114097,64,True,False,False,False,9f70ecb962aa2ec12ff20226b1172fe19516c6ab1acffb5d15c2d96eaf080216,5e74c99bad3830dec65d3c77c86e8a319a1ab174f22751f45bc87a655921f3bb,COMPLETE
mf,910033,720,validation_only,0.3944010810331391,64,True,False,False,False,51b2681603ad11d710468e09849872ac98723d9769ea4dee45aaa4d4acd33d25,65494e909323f83d5120aaec38c16dce8b689a6fdb1ce2d3c4aa83be968cf942,COMPLETE
mf,910033,760,validation_only,0.3868745324541835,64,True,False,False,False,e61e48a6f0a4d4b7eedc7f1d51f49686a8a341ea45250107423919a367628c1b,ab81ba08746ce8ddf9cac94d4a48e12c8d5ef2dda0d5c84ed997ed0acb0b5099,COMPLETE
mf,910033,800,validation_only,0.40028865927138746,64,True,True,False,False,7aaa21e269e668f8084b2172a0d0262bd3557281e25a6e6eb64b4a2276df383d,8f28807981962e0680b4947db585be5bd09df50d4d8488a5c023fb47bc91338c,COMPLETE
